item,weight,year,month,value,date
Index of Fertilizers,NA,2013,1,97.3,2013-01-01
Index of Fertilizers,NA,2013,2,89.9,2013-02-01
Index of Fertilizers,NA,2013,3,93.9,2013-03-01
Index of Fertilizers,NA,2013,4,73.8,2013-04-01
Index of Fertilizers,NA,2013,5,81.4,2013-05-01
Index of Fertilizers,NA,2013,6,93.5,2013-06-01
Index of Fertilizers,NA,2013,7,104.0,2013-07-01
Index of Fertilizers,NA,2013,8,106.9,2013-08-01
Index of Fertilizers,NA,2013,9,110.6,2013-09-01
Index of Fertilizers,NA,2013,10,112.6,2013-10-01
Index of Fertilizers,NA,2013,11,103.9,2013-11-01
Index of Fertilizers,NA,2013,12,107.5,2013-12-01
Index of Fertilizers,NA,2014,1,102.6,2014-01-01
Index of Fertilizers,NA,2014,2,92.1,2014-02-01
Index of Fertilizers,NA,2014,3,88.4,2014-03-01
Index of Fertilizers,NA,2014,4,83.4,2014-04-01
Index of Fertilizers,NA,2014,5,95.7,2014-05-01
Index of Fertilizers,NA,2014,6,97.2,2014-06-01
Index of Fertilizers,NA,2014,7,99.9,2014-07-01
Index of Fertilizers,NA,2014,8,101.6,2014-08-01
Index of Fertilizers,NA,2014,9,100.0,2014-09-01
Index of Fertilizers,NA,2014,10,106.7,2014-10-01
Index of Fertilizers,NA,2014,11,106.1,2014-11-01
Index of Fertilizers,NA,2014,12,109.5,2014-12-01
Index of Fertilizers,NA,2015,1,108.7,2015-01-01
Index of Fertilizers,NA,2015,2,93.3,2015-02-01
Index of Fertilizers,NA,2015,3,90.5,2015-03-01
Index of Fertilizers,NA,2015,4,86.4,2015-04-01
Index of Fertilizers,NA,2015,5,98.4,2015-05-01
Index of Fertilizers,NA,2015,6,104.1,2015-06-01
Index of Fertilizers,NA,2015,7,112.0,2015-07-01
Index of Fertilizers,NA,2015,8,113.3,2015-08-01
Index of Fertilizers,NA,2015,9,113.7,2015-09-01
Index of Fertilizers,NA,2015,10,112.6,2015-10-01
Index of Fertilizers,NA,2015,11,107.0,2015-11-01
Index of Fertilizers,NA,2015,12,112.0,2015-12-01
Index of Fertilizers,NA,2016,1,108.5,2016-01-01
Index of Fertilizers,NA,2016,2,101.3,2016-02-01
Index of Fertilizers,NA,2016,3,106.8,2016-03-01
Index of Fertilizers,NA,2016,4,83.8,2016-04-01
Index of Fertilizers,NA,2016,5,104.5,2016-05-01
Index of Fertilizers,NA,2016,6,110.3,2016-06-01
Index of Fertilizers,NA,2016,7,108.4,2016-07-01
Index of Fertilizers,NA,2016,8,116.2,2016-08-01
Index of Fertilizers,NA,2016,9,114.1,2016-09-01
Index of Fertilizers,NA,2016,10,113.4,2016-10-01
Index of Fertilizers,NA,2016,11,111.5,2016-11-01
Index of Fertilizers,NA,2016,12,108.8,2016-12-01
Index of Fertilizers,NA,2017,1,107.2,2017-01-01
Index of Fertilizers,NA,2017,2,97.2,2017-02-01
Index of Fertilizers,NA,2017,3,103.6,2017-03-01
Index of Fertilizers,NA,2017,4,89.0,2017-04-01
Index of Fertilizers,NA,2017,5,98.3,2017-05-01
Index of Fertilizers,NA,2017,6,107.3,2017-06-01
Index of Fertilizers,NA,2017,7,108.6,2017-07-01
Index of Fertilizers,NA,2017,8,115.4,2017-08-01
Index of Fertilizers,NA,2017,9,105.3,2017-09-01
Index of Fertilizers,NA,2017,10,116.8,2017-10-01
Index of Fertilizers,NA,2017,11,111.8,2017-11-01
Index of Fertilizers,NA,2017,12,112.1,2017-12-01
Index of Fertilizers,NA,2018,1,105.5,2018-01-01
Index of Fertilizers,NA,2018,2,102.2,2018-02-01
Index of Fertilizers,NA,2018,3,107.0,2018-03-01
Index of Fertilizers,NA,2018,4,93.1,2018-04-01
Index of Fertilizers,NA,2018,5,106.6,2018-05-01
Index of Fertilizers,NA,2018,6,108.3,2018-06-01
Index of Fertilizers,NA,2018,7,110.0,2018-07-01
Index of Fertilizers,NA,2018,8,109.4,2018-08-01
Index of Fertilizers,NA,2018,9,108.0,2018-09-01
Index of Fertilizers,NA,2018,10,103.3,2018-10-01
Index of Fertilizers,NA,2018,11,102.7,2018-11-01
Index of Fertilizers,NA,2018,12,109.4,2018-12-01
Index of Fertilizers,NA,2019,1,116.6,2019-01-01
Index of Fertilizers,NA,2019,2,104.8,2019-02-01
Index of Fertilizers,NA,2019,3,111.5,2019-03-01
Index of Fertilizers,NA,2019,4,89.0,2019-04-01
Index of Fertilizers,NA,2019,5,105.5,2019-05-01
Index of Fertilizers,NA,2019,6,110.0,2019-06-01
Index of Fertilizers,NA,2019,7,111.7,2019-07-01
Index of Fertilizers,NA,2019,8,112.6,2019-08-01
Index of Fertilizers,NA,2019,9,113.9,2019-09-01
Index of Fertilizers,NA,2019,10,115.5,2019-10-01
Index of Fertilizers,NA,2019,11,116.7,2019-11-01
Index of Fertilizers,NA,2019,12,120.5,2019-12-01
Index of Fertilizers,NA,2020,1,116.5,2020-01-01
Index of Fertilizers,NA,2020,2,107.8,2020-02-01
Index of Fertilizers,NA,2020,3,98.3,2020-03-01
Index of Fertilizers,NA,2020,4,85.0,2020-04-01
Index of Fertilizers,NA,2020,5,113.4,2020-05-01
Index of Fertilizers,NA,2020,6,114.6,2020-06-01
Index of Fertilizers,NA,2020,7,119.4,2020-07-01
Index of Fertilizers,NA,2020,8,120.8,2020-08-01
Index of Fertilizers,NA,2020,9,113.5,2020-09-01
Index of Fertilizers,NA,2020,10,122.8,2020-10-01
Index of Fertilizers,NA,2020,11,118.5,2020-11-01
Index of Fertilizers,NA,2020,12,117.0,2020-12-01
Index of Fertilizers,NA,2021,1,117.5,2021-01-01
Index of Fertilizers,NA,2021,2,103.9,2021-02-01
Index of Fertilizers,NA,2021,3,93.4,2021-03-01
Index of Fertilizers,NA,2021,4,88.3,2021-04-01
Index of Fertilizers,NA,2021,5,102.5,2021-05-01
Index of Fertilizers,NA,2021,6,116.9,2021-06-01
Index of Fertilizers,NA,2021,7,120.1,2021-07-01
Index of Fertilizers,NA,2021,8,117.0,2021-08-01
Index of Fertilizers,NA,2021,9,113.6,2021-09-01
Index of Fertilizers,NA,2021,10,122.9,2021-10-01
Index of Fertilizers,NA,2021,11,121.4,2021-11-01
Index of Fertilizers,NA,2021,12,121.1,2021-12-01
Index of Fertilizers,NA,2022,1,115.2,2022-01-01
Index of Fertilizers,NA,2022,2,102.4,2022-02-01
Index of Fertilizers,NA,2022,3,107.7,2022-03-01
Index of Fertilizers,NA,2022,5,126.0,2022-05-01
Index of Fertilizers,NA,2022,6,126.4,2022-06-01
Index of Fertilizers,NA,2022,7,127.6,2022-07-01
Index of Fertilizers,NA,2022,8,130.9,2022-08-01
Index of Fertilizers,NA,2022,9,127.0,2022-09-01
Index of Fertilizers,NA,2022,10,129.5,2022-10-01
Index of Fertilizers,NA,2022,11,129.2,2022-11-01
Index of Fertilizers,NA,2022,12,129.9,2022-12-01
Index of Fertilizers,NA,2023,1,135.8,2023-01-01
Index of Fertilizers,NA,2023,2,125.2,2023-02-01
Index of Fertilizers,NA,2023,3,118.1,2023-03-01
Index of Fertilizers,NA,2023,4,118.7,2023-04-01
Index of Fertilizers,NA,2023,5,138.2,2023-05-01
Index of Fertilizers,NA,2023,6,130.8,2023-06-01
Index of Fertilizers,NA,2023,7,131.8,2023-07-01
Index of Fertilizers,NA,2023,8,133.3,2023-08-01
Index of Fertilizers,NA,2023,9,132.3,2023-09-01
Index of Fertilizers,NA,2023,10,136.4,2023-10-01
Index of Fertilizers,NA,2023,11,133.5,2023-11-01
Index of Fertilizers,NA,2023,12,137.5,2023-12-01
Index of Fertilizers,NA,2024,1,135.0,2024-01-01
Index of Fertilizers,NA,2024,2,113.3,2024-02-01
Index of Fertilizers,NA,2024,3,116.6,2024-03-01
Index of Fertilizers,NA,2024,4,117.8,2024-04-01
Index of Fertilizers,NA,2024,5,135.9,2024-05-01
Index of Fertilizers,NA,2024,6,134.0,2024-06-01
Index of Fertilizers,NA,2024,7,138.8,2024-07-01
Overall Index (Base:2011-12=100),NA,2011,4,97.5,2011-04-01
Overall Index (Base:2011-12=100),NA,2011,5,100.0,2011-05-01
Overall Index (Base:2011-12=100),NA,2011,6,96.9,2011-06-01
Overall Index (Base:2011-12=100),NA,2011,7,99.3,2011-07-01
Overall Index (Base:2011-12=100),NA,2011,8,97.5,2011-08-01
Overall Index (Base:2011-12=100),NA,2011,9,92.2,2011-09-01
Overall Index (Base:2011-12=100),NA,2011,10,99.3,2011-10-01
Overall Index (Base:2011-12=100),NA,2011,11,99.3,2011-11-01
Overall Index (Base:2011-12=100),NA,2011,12,104.2,2011-12-01
Overall Index (Base:2011-12=100),NA,2012,1,104.5,2012-01-01
Overall Index (Base:2011-12=100),NA,2012,2,100.1,2012-02-01
Overall Index (Base:2011-12=100),NA,2012,3,109.3,2012-03-01
Overall Index (Base:2011-12=100),NA,2012,4,99.5,2012-04-01
Overall Index (Base:2011-12=100),NA,2012,5,106.0,2012-05-01
Overall Index (Base:2011-12=100),NA,2012,6,101.3,2012-06-01
Overall Index (Base:2011-12=100),NA,2012,7,103.5,2012-07-01
Overall Index (Base:2011-12=100),NA,2012,8,99.9,2012-08-01
Overall Index (Base:2011-12=100),NA,2012,9,96.8,2012-09-01
Overall Index (Base:2011-12=100),NA,2012,10,104.8,2012-10-01
Overall Index (Base:2011-12=100),NA,2012,11,102.1,2012-11-01
Overall Index (Base:2011-12=100),NA,2012,12,108.6,2012-12-01
Overall Index (Base:2011-12=100),NA,2013,1,109.7,2013-01-01
Overall Index (Base:2011-12=100),NA,2013,2,99.9,2013-02-01
Overall Index (Base:2011-12=100),NA,2013,3,113.6,2013-03-01
Overall Index (Base:2011-12=100),NA,2013,4,101.9,2013-04-01
Overall Index (Base:2011-12=100),NA,2013,5,107.6,2013-05-01
Overall Index (Base:2011-12=100),NA,2013,6,101.3,2013-06-01
Overall Index (Base:2011-12=100),NA,2013,7,105.8,2013-07-01
Overall Index (Base:2011-12=100),NA,2013,8,104.1,2013-08-01
Overall Index (Base:2011-12=100),NA,2013,9,104.5,2013-09-01
Overall Index (Base:2011-12=100),NA,2013,10,103.8,2013-10-01
Overall Index (Base:2011-12=100),NA,2013,11,102.7,2013-11-01
Overall Index (Base:2011-12=100),NA,2013,12,111.7,2013-12-01
Overall Index (Base:2011-12=100),NA,2014,1,112.5,2014-01-01
Overall Index (Base:2011-12=100),NA,2014,2,104.8,2014-02-01
Overall Index (Base:2011-12=100),NA,2014,3,116.9,2014-03-01
Overall Index (Base:2011-12=100),NA,2014,4,107.0,2014-04-01
Overall Index (Base:2011-12=100),NA,2014,5,113.2,2014-05-01
Overall Index (Base:2011-12=100),NA,2014,6,111.1,2014-06-01
Overall Index (Base:2011-12=100),NA,2014,7,110.2,2014-07-01
Overall Index (Base:2011-12=100),NA,2014,8,109.8,2014-08-01
Overall Index (Base:2011-12=100),NA,2014,9,108.0,2014-09-01
Overall Index (Base:2011-12=100),NA,2014,10,113.0,2014-10-01
Overall Index (Base:2011-12=100),NA,2014,11,112.3,2014-11-01
Overall Index (Base:2011-12=100),NA,2014,12,115.4,2014-12-01
Overall Index (Base:2011-12=100),NA,2015,1,115.8,2015-01-01
Overall Index (Base:2011-12=100),NA,2015,2,108.0,2015-02-01
Overall Index (Base:2011-12=100),NA,2015,3,116.9,2015-03-01
Overall Index (Base:2011-12=100),NA,2015,4,106.4,2015-04-01
Overall Index (Base:2011-12=100),NA,2015,5,115.9,2015-05-01
Overall Index (Base:2011-12=100),NA,2015,6,112.7,2015-06-01
Overall Index (Base:2011-12=100),NA,2015,7,113.5,2015-07-01
Overall Index (Base:2011-12=100),NA,2015,8,114.3,2015-08-01
Overall Index (Base:2011-12=100),NA,2015,9,110.6,2015-09-01
Overall Index (Base:2011-12=100),NA,2015,10,114.4,2015-10-01
Overall Index (Base:2011-12=100),NA,2015,11,112.5,2015-11-01
Overall Index (Base:2011-12=100),NA,2015,12,117.5,2015-12-01
Overall Index (Base:2011-12=100),NA,2016,1,120.7,2016-01-01
Overall Index (Base:2011-12=100),NA,2016,2,116.3,2016-02-01
Overall Index (Base:2011-12=100),NA,2016,3,125.9,2016-03-01
Overall Index (Base:2011-12=100),NA,2016,4,115.7,2016-04-01
Overall Index (Base:2011-12=100),NA,2016,5,122.0,2016-05-01
Overall Index (Base:2011-12=100),NA,2016,6,120.5,2016-06-01
Overall Index (Base:2011-12=100),NA,2016,7,117.0,2016-07-01
Overall Index (Base:2011-12=100),NA,2016,8,117.8,2016-08-01
Overall Index (Base:2011-12=100),NA,2016,9,116.5,2016-09-01
Overall Index (Base:2011-12=100),NA,2016,10,122.5,2016-10-01
Overall Index (Base:2011-12=100),NA,2016,11,116.1,2016-11-01
Overall Index (Base:2011-12=100),NA,2016,12,124.1,2016-12-01
Overall Index (Base:2011-12=100),NA,2017,1,124.8,2017-01-01
Overall Index (Base:2011-12=100),NA,2017,2,116.9,2017-02-01
Overall Index (Base:2011-12=100),NA,2017,3,132.5,2017-03-01
Overall Index (Base:2011-12=100),NA,2017,4,118.7,2017-04-01
Overall Index (Base:2011-12=100),NA,2017,5,126.8,2017-05-01
Overall Index (Base:2011-12=100),NA,2017,6,121.7,2017-06-01
Overall Index (Base:2011-12=100),NA,2017,7,120.4,2017-07-01
Overall Index (Base:2011-12=100),NA,2017,8,123.0,2017-08-01
Overall Index (Base:2011-12=100),NA,2017,9,122.0,2017-09-01
Overall Index (Base:2011-12=100),NA,2017,10,128.7,2017-10-01
Overall Index (Base:2011-12=100),NA,2017,11,124.1,2017-11-01
Overall Index (Base:2011-12=100),NA,2017,12,128.8,2017-12-01
Overall Index (Base:2011-12=100),NA,2018,1,132.5,2018-01-01
Overall Index (Base:2011-12=100),NA,2018,2,123.2,2018-02-01
Overall Index (Base:2011-12=100),NA,2018,3,138.5,2018-03-01
Overall Index (Base:2011-12=100),NA,2018,4,124.3,2018-04-01
Overall Index (Base:2011-12=100),NA,2018,5,131.9,2018-05-01
Overall Index (Base:2011-12=100),NA,2018,6,131.2,2018-06-01
Overall Index (Base:2011-12=100),NA,2018,7,129.2,2018-07-01
Overall Index (Base:2011-12=100),NA,2018,8,128.8,2018-08-01
Overall Index (Base:2011-12=100),NA,2018,9,127.2,2018-09-01
Overall Index (Base:2011-12=100),NA,2018,10,134.8,2018-10-01
Overall Index (Base:2011-12=100),NA,2018,11,128.3,2018-11-01
Overall Index (Base:2011-12=100),NA,2018,12,131.5,2018-12-01
Overall Index (Base:2011-12=100),NA,2019,1,134.5,2019-01-01
Overall Index (Base:2011-12=100),NA,2019,2,125.9,2019-02-01
Overall Index (Base:2011-12=100),NA,2019,3,146.5,2019-03-01
Overall Index (Base:2011-12=100),NA,2019,4,130.7,2019-04-01
Overall Index (Base:2011-12=100),NA,2019,5,137.0,2019-05-01
Overall Index (Base:2011-12=100),NA,2019,6,132.8,2019-06-01
Overall Index (Base:2011-12=100),NA,2019,7,132.6,2019-07-01
Overall Index (Base:2011-12=100),NA,2019,8,128.5,2019-08-01
Overall Index (Base:2011-12=100),NA,2019,9,120.7,2019-09-01
Overall Index (Base:2011-12=100),NA,2019,10,127.4,2019-10-01
Overall Index (Base:2011-12=100),NA,2019,11,129.2,2019-11-01
Overall Index (Base:2011-12=100),NA,2019,12,135.5,2019-12-01
Overall Index (Base:2011-12=100),NA,2020,1,137.4,2020-01-01
Overall Index (Base:2011-12=100),NA,2020,2,134.0,2020-02-01
Overall Index (Base:2011-12=100),NA,2020,3,134.0,2020-03-01
Overall Index (Base:2011-12=100),NA,2020,4,81.2,2020-04-01
Overall Index (Base:2011-12=100),NA,2020,5,107.7,2020-05-01
Overall Index (Base:2011-12=100),NA,2020,6,116.3,2020-06-01
Overall Index (Base:2011-12=100),NA,2020,7,122.5,2020-07-01
Overall Index (Base:2011-12=100),NA,2020,8,119.7,2020-08-01
Overall Index (Base:2011-12=100),NA,2020,9,121.4,2020-09-01
Overall Index (Base:2011-12=100),NA,2020,10,126.7,2020-10-01
Overall Index (Base:2011-12=100),NA,2020,11,127.7,2020-11-01
Overall Index (Base:2011-12=100),NA,2020,12,136.1,2020-12-01
Overall Index (Base:2011-12=100),NA,2021,1,139.2,2021-01-01
Overall Index (Base:2011-12=100),NA,2021,2,129.6,2021-02-01
Overall Index (Base:2011-12=100),NA,2021,3,150.8,2021-03-01
Overall Index (Base:2011-12=100),NA,2021,4,132.0,2021-04-01
Overall Index (Base:2011-12=100),NA,2021,5,125.4,2021-05-01
Overall Index (Base:2011-12=100),NA,2021,6,127.2,2021-06-01
Overall Index (Base:2011-12=100),NA,2021,7,134.7,2021-07-01
Overall Index (Base:2011-12=100),NA,2021,8,134.2,2021-08-01
Overall Index (Base:2011-12=100),NA,2021,9,128.0,2021-09-01
Overall Index (Base:2011-12=100),NA,2021,10,137.8,2021-10-01
Overall Index (Base:2011-12=100),NA,2021,11,131.8,2021-11-01
Overall Index (Base:2011-12=100),NA,2021,12,141.7,2021-12-01
Overall Index (Base:2011-12=100),NA,2022,1,144.8,2022-01-01
Overall Index (Base:2011-12=100),NA,2022,2,137.1,2022-02-01
Overall Index (Base:2011-12=100),NA,2022,3,158.0,2022-03-01
Overall Index (Base:2011-12=100),NA,2022,5,149.6,2022-05-01
Overall Index (Base:2011-12=100),NA,2022,6,143.9,2022-06-01
Overall Index (Base:2011-12=100),NA,2022,7,141.1,2022-07-01
Overall Index (Base:2011-12=100),NA,2022,8,139.9,2022-08-01
Overall Index (Base:2011-12=100),NA,2022,9,138.6,2022-09-01
Overall Index (Base:2011-12=100),NA,2022,10,138.8,2022-10-01
Overall Index (Base:2011-12=100),NA,2022,11,139.4,2022-11-01
Overall Index (Base:2011-12=100),NA,2022,12,153.4,2022-12-01
Overall Index (Base:2011-12=100),NA,2023,1,158.8,2023-01-01
Overall Index (Base:2011-12=100),NA,2023,2,147.3,2023-02-01
Overall Index (Base:2011-12=100),NA,2023,3,164.7,2023-03-01
Overall Index (Base:2011-12=100),NA,2023,4,151.2,2023-04-01
Overall Index (Base:2011-12=100),NA,2023,5,157.4,2023-05-01
Overall Index (Base:2011-12=100),NA,2023,6,155.9,2023-06-01
Overall Index (Base:2011-12=100),NA,2023,7,153.2,2023-07-01
Overall Index (Base:2011-12=100),NA,2023,8,158.6,2023-08-01
Overall Index (Base:2011-12=100),NA,2023,9,151.7,2023-09-01
Overall Index (Base:2011-12=100),NA,2023,10,156.4,2023-10-01
Overall Index (Base:2011-12=100),NA,2023,11,150.4,2023-11-01
Overall Index (Base:2011-12=100),NA,2023,12,161.2,2023-12-01
Overall Index (Base:2011-12=100),NA,2024,1,165.4,2024-01-01
Overall Index (Base:2011-12=100),NA,2024,2,157.7,2024-02-01
Overall Index (Base:2011-12=100),NA,2024,3,175.0,2024-03-01
Overall Index (Base:2011-12=100),NA,2024,4,161.7,2024-04-01
Overall Index (Base:2011-12=100),NA,2024,5,167.4,2024-05-01
Overall Index (Base:2011-12=100),NA,2024,6,163.9,2024-06-01
Overall Index (Base:2011-12=100),NA,2024,7,162.5,2024-07-01
Growth of  Cement (%),NA,2012,4,9.4,2012-04-01
Growth of  Cement (%),NA,2012,5,12.1,2012-05-01
Growth of  Cement (%),NA,2012,6,10.5,2012-06-01
Growth of  Cement (%),NA,2012,7,4.2,2012-07-01
Growth of  Cement (%),NA,2012,8,0.8,2012-08-01
Growth of  Cement (%),NA,2012,9,14.3,2012-09-01
Growth of  Cement (%),NA,2012,10,7.1,2012-10-01
Growth of  Cement (%),NA,2012,11,0.2,2012-11-01
Growth of  Cement (%),NA,2012,12,9.5,2012-12-01
Growth of  Cement (%),NA,2013,1,10.2,2013-01-01
Growth of  Cement (%),NA,2013,2,3.1,2013-02-01
Growth of  Cement (%),NA,2013,3,8.3,2013-03-01
Growth of  Cement (%),NA,2013,4,9.4,2013-04-01
Growth of  Cement (%),NA,2013,5,6.5,2013-05-01
Growth of  Cement (%),NA,2013,6,2.6,2013-06-01
Growth of  Cement (%),NA,2013,7,0.2,2013-07-01
Growth of  Cement (%),NA,2013,8,5.2,2013-08-01
Growth of  Cement (%),NA,2013,9,12.1,2013-09-01
Growth of  Cement (%),NA,2013,10,0.9,2013-10-01
Growth of  Cement (%),NA,2013,11,3.9,2013-11-01
Growth of  Cement (%),NA,2013,12,1.2,2013-12-01
Growth of  Cement (%),NA,2014,1,2.0,2014-01-01
Growth of  Cement (%),NA,2014,2,2.4,2014-02-01
Growth of  Cement (%),NA,2014,3,0.4,2014-03-01
Growth of  Cement (%),NA,2014,4,8.6,2014-04-01
Growth of  Cement (%),NA,2014,5,9.8,2014-05-01
Growth of  Cement (%),NA,2014,6,14.9,2014-06-01
Growth of  Cement (%),NA,2014,7,16.5,2014-07-01
Growth of  Cement (%),NA,2014,8,10.0,2014-08-01
Growth of  Cement (%),NA,2014,9,3.7,2014-09-01
Growth of  Cement (%),NA,2014,10,-1.2,2014-10-01
Growth of  Cement (%),NA,2014,11,10.5,2014-11-01
Growth of  Cement (%),NA,2014,12,3.8,2014-12-01
Growth of  Cement (%),NA,2015,1,0.2,2015-01-01
Growth of  Cement (%),NA,2015,2,2.2,2015-02-01
Growth of  Cement (%),NA,2015,3,-3.7,2015-03-01
Growth of  Cement (%),NA,2015,4,-2.6,2015-04-01
Growth of  Cement (%),NA,2015,5,1.4,2015-05-01
Growth of  Cement (%),NA,2015,6,1.5,2015-06-01
Growth of  Cement (%),NA,2015,7,1.4,2015-07-01
Growth of  Cement (%),NA,2015,8,5.4,2015-08-01
Growth of  Cement (%),NA,2015,9,-1.6,2015-09-01
Growth of  Cement (%),NA,2015,10,12.2,2015-10-01
Growth of  Cement (%),NA,2015,11,-1.7,2015-11-01
Growth of  Cement (%),NA,2015,12,4.1,2015-12-01
Growth of  Cement (%),NA,2016,1,9.2,2016-01-01
Growth of  Cement (%),NA,2016,2,13.5,2016-02-01
Growth of  Cement (%),NA,2016,3,12.9,2016-03-01
Growth of  Cement (%),NA,2016,4,4.3,2016-04-01
Growth of  Cement (%),NA,2016,5,2.7,2016-05-01
Growth of  Cement (%),NA,2016,6,10.5,2016-06-01
Growth of  Cement (%),NA,2016,7,0.7,2016-07-01
Growth of  Cement (%),NA,2016,8,3.1,2016-08-01
Growth of  Cement (%),NA,2016,9,6.7,2016-09-01
Growth of  Cement (%),NA,2016,10,6.2,2016-10-01
Growth of  Cement (%),NA,2016,11,0.5,2016-11-01
Growth of  Cement (%),NA,2016,12,-8.7,2016-12-01
Growth of  Cement (%),NA,2017,1,-13.3,2017-01-01
Growth of  Cement (%),NA,2017,2,-15.8,2017-02-01
Growth of  Cement (%),NA,2017,3,-6.8,2017-03-01
Growth of  Cement (%),NA,2017,4,-5.2,2017-04-01
Growth of  Cement (%),NA,2017,5,-1.4,2017-05-01
Growth of  Cement (%),NA,2017,6,-3.3,2017-06-01
Growth of  Cement (%),NA,2017,7,1.0,2017-07-01
Growth of  Cement (%),NA,2017,8,0.7,2017-08-01
Growth of  Cement (%),NA,2017,9,0.1,2017-09-01
Growth of  Cement (%),NA,2017,10,-1.3,2017-10-01
Growth of  Cement (%),NA,2017,11,16.9,2017-11-01
Growth of  Cement (%),NA,2017,12,17.7,2017-12-01
Growth of  Cement (%),NA,2018,1,19.6,2018-01-01
Growth of  Cement (%),NA,2018,2,23.0,2018-02-01
Growth of  Cement (%),NA,2018,3,13.5,2018-03-01
Growth of  Cement (%),NA,2018,4,21.9,2018-04-01
Growth of  Cement (%),NA,2018,5,13.0,2018-05-01
Growth of  Cement (%),NA,2018,6,14.2,2018-06-01
Growth of  Cement (%),NA,2018,7,11.2,2018-07-01
Growth of  Cement (%),NA,2018,8,14.6,2018-08-01
Growth of  Cement (%),NA,2018,9,11.8,2018-09-01
Growth of  Cement (%),NA,2018,10,18.4,2018-10-01
Growth of  Cement (%),NA,2018,11,8.8,2018-11-01
Growth of  Cement (%),NA,2018,12,11.6,2018-12-01
Growth of  Cement (%),NA,2019,1,11.0,2019-01-01
Growth of  Cement (%),NA,2019,2,8.0,2019-02-01
Growth of  Cement (%),NA,2019,3,15.7,2019-03-01
Growth of  Cement (%),NA,2019,4,2.3,2019-04-01
Growth of  Cement (%),NA,2019,5,2.8,2019-05-01
Growth of  Cement (%),NA,2019,6,-1.9,2019-06-01
Growth of  Cement (%),NA,2019,7,7.7,2019-07-01
Growth of  Cement (%),NA,2019,8,-5.1,2019-08-01
Growth of  Cement (%),NA,2019,9,-2.0,2019-09-01
Growth of  Cement (%),NA,2019,10,-7.7,2019-10-01
Growth of  Cement (%),NA,2019,11,4.3,2019-11-01
Growth of  Cement (%),NA,2019,12,5.5,2019-12-01
Growth of  Cement (%),NA,2020,1,5.1,2020-01-01
Growth of  Cement (%),NA,2020,2,7.8,2020-02-01
Growth of  Cement (%),NA,2020,3,-25.1,2020-03-01
Growth of  Cement (%),NA,2020,4,-85.2,2020-04-01
Growth of  Cement (%),NA,2020,5,-21.4,2020-05-01
Growth of  Cement (%),NA,2020,6,-6.8,2020-06-01
Growth of  Cement (%),NA,2020,7,-13.5,2020-07-01
Growth of  Cement (%),NA,2020,8,-14.5,2020-08-01
Growth of  Cement (%),NA,2020,9,-3.4,2020-09-01
Growth of  Cement (%),NA,2020,10,3.2,2020-10-01
Growth of  Cement (%),NA,2020,11,-7.3,2020-11-01
Growth of  Cement (%),NA,2020,12,-7.2,2020-12-01
Growth of  Cement (%),NA,2021,1,-5.8,2021-01-01
Growth of  Cement (%),NA,2021,2,0.2,2021-02-01
Growth of  Cement (%),NA,2021,3,40.6,2021-03-01
Growth of  Cement (%),NA,2021,4,606.6,2021-04-01
Growth of  Cement (%),NA,2021,5,11.7,2021-05-01
Growth of  Cement (%),NA,2021,6,7.5,2021-06-01
Growth of  Cement (%),NA,2021,7,21.7,2021-07-01
Growth of  Cement (%),NA,2021,8,36.3,2021-08-01
Growth of  Cement (%),NA,2021,9,11.3,2021-09-01
Growth of  Cement (%),NA,2021,10,14.6,2021-10-01
Growth of  Cement (%),NA,2021,11,-3.6,2021-11-01
Growth of  Cement (%),NA,2021,12,14.2,2021-12-01
Growth of  Cement (%),NA,2022,1,14.1,2022-01-01
Growth of  Cement (%),NA,2022,2,4.2,2022-02-01
Growth of  Cement (%),NA,2022,3,9.0,2022-03-01
Growth of  Cement (%),NA,2022,5,26.2,2022-05-01
Growth of  Cement (%),NA,2022,6,19.7,2022-06-01
Growth of  Cement (%),NA,2022,7,0.7,2022-07-01
Growth of  Cement (%),NA,2022,8,2.1,2022-08-01
Growth of  Cement (%),NA,2022,9,12.4,2022-09-01
Growth of  Cement (%),NA,2022,10,-4.2,2022-10-01
Growth of  Cement (%),NA,2022,11,29.1,2022-11-01
Growth of  Cement (%),NA,2022,12,9.5,2022-12-01
Growth of  Cement (%),NA,2023,1,4.7,2023-01-01
Growth of  Cement (%),NA,2023,2,7.4,2023-02-01
Growth of  Cement (%),NA,2023,3,-0.2,2023-03-01
Growth of  Cement (%),NA,2023,4,12.4,2023-04-01
Growth of  Cement (%),NA,2023,5,15.9,2023-05-01
Growth of  Cement (%),NA,2023,6,9.9,2023-06-01
Growth of  Cement (%),NA,2023,7,6.9,2023-07-01
Growth of  Cement (%),NA,2023,8,19.7,2023-08-01
Growth of  Cement (%),NA,2023,9,4.7,2023-09-01
Growth of  Cement (%),NA,2023,10,17.0,2023-10-01
Growth of  Cement (%),NA,2023,11,-4.8,2023-11-01
Growth of  Cement (%),NA,2023,12,3.8,2023-12-01
Growth of  Cement (%),NA,2024,1,4.0,2024-01-01
Growth of  Cement (%),NA,2024,2,7.8,2024-02-01
Growth of  Cement (%),NA,2024,3,10.6,2024-03-01
Growth of  Cement (%),NA,2024,4,0.2,2024-04-01
Growth of  Cement (%),NA,2024,5,-0.6,2024-05-01
Growth of  Cement (%),NA,2024,6,1.9,2024-06-01
